                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1042,                0.93517,                 1.4518,                 0.7843,                0.78049,                 0.8171,                0.51554,                 1.4754,                 1.2753,                 1.9719,               0.004852,               0.004852,               0.004852
                     54,                 1.0718,                0.88468,                 1.4144,                0.75727,                0.72288,                0.77822,                0.49257,                 1.4607,                 1.2281,                 1.8856,               0.004753,               0.004753,               0.004753
                     55,                 1.0702,                0.93043,                 1.4238,                0.86158,                0.79573,                0.85547,                0.57602,                 1.2865,                 1.0912,                 1.7604,               0.004654,               0.004654,               0.004654
                     56,                 1.1159,                0.93374,                 1.4552,                0.87381,                0.71781,                0.81429,                0.55129,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 1.1135,                0.92746,                  1.428,                0.85062,                0.78121,                0.85324,                0.57745,                 1.3191,                 1.0093,                 1.7676,               0.004456,               0.004456,               0.004456
                     58,                 1.0932,                0.91719,                 1.4349,                0.84858,                0.72561,                0.81997,                0.55437,                 1.3131,                 1.1023,                 1.7605,               0.004357,               0.004357,               0.004357
                     59,                 1.0982,                0.89601,                 1.4532,                 0.7887,                0.76245,                0.80732,                0.51688,                 1.3882,                 1.0963,                 1.8678,               0.004258,               0.004258,               0.004258
                     60,                 1.0382,                0.89472,                 1.4093,                 0.8673,                0.79878,                0.86011,                0.58923,                 1.2749,                 1.0059,                  1.778,               0.004159,               0.004159,               0.004159
                     61,                 1.0461,                0.90439,                 1.4013,                0.81855,                 0.7561,                  0.827,                0.53252,                 1.3723,                 1.1573,                 1.8712,                0.00406,                0.00406,                0.00406
                     62,                 1.0609,                0.87742,                 1.4125,                0.80018,                0.67149,                0.73298,                0.48896,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                 1.0726,                0.89302,                 1.4352,                0.82343,                0.73936,                0.81061,                0.52946,                 1.4288,                 1.2412,                 1.9456,               0.003862,               0.003862,               0.003862
                     64,                 1.0407,                 0.8758,                 1.4154,                0.70892,                0.51978,                0.61196,                0.33818,                 1.8833,                 1.8365,                 2.4361,               0.003763,               0.003763,               0.003763
                     65,                 1.0637,                0.89197,                  1.413,                0.58732,                0.65086,                0.62235,                0.35331,                 1.7113,                 1.8157,                 2.2526,               0.003664,               0.003664,               0.003664
                     66,                 1.0377,                 0.8546,                 1.3956,                0.84224,                0.72561,                 0.8413,                0.57586,                 1.2587,                 1.0501,                 1.7124,               0.003565,               0.003565,               0.003565
                     67,                 1.0583,                0.88337,                 1.4133,                0.49988,                0.55488,                0.44629,                 0.1818,                 2.2645,                 2.0573,                 3.0294,               0.003466,               0.003466,               0.003466
                     68,                 1.0216,                0.86114,                 1.3972,                 0.8525,                0.75915,                0.83922,                0.55907,                 1.2927,                 1.0816,                 1.7592,               0.003367,               0.003367,               0.003367
                     69,                 1.0131,                0.85429,                 1.3798,                0.74917,                0.66475,                0.73037,                0.44589,                 1.5405,                 1.3436,                 2.0346,               0.003268,               0.003268,               0.003268
                     70,                0.97936,                0.79515,                 1.3759,                0.88377,                0.77744,                0.84734,                0.59171,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                     71,                 1.0368,                 0.8628,                  1.404,                0.84492,                 0.7973,                0.86638,                0.61487,                 1.1703,                0.95767,                  1.606,                0.00307,                0.00307,                0.00307
                     72,                0.98868,                 0.8396,                 1.3822,                0.78052,                0.73476,                0.79778,                0.53804,                  1.383,                 1.1649,                  1.849,               0.002971,               0.002971,               0.002971
                     73,                 1.0469,                0.84178,                 1.3877,                0.83771,                0.78659,                0.83501,                0.57398,                 1.3185,                 1.0729,                 1.8512,               0.002872,               0.002872,               0.002872
                     74,                      1,                0.81094,                 1.3822,                0.82269,                0.80633,                0.85004,                0.59735,                 1.2083,                0.95318,                 1.7033,               0.002773,               0.002773,               0.002773
                     75,                0.98237,                0.80654,                 1.3622,                0.87946,                 0.7439,                0.83824,                0.57732,                 1.2886,                 1.1093,                 1.7589,               0.002674,               0.002674,               0.002674
                     76,                0.99412,                0.83035,                 1.3827,                0.88683,                 0.7561,                0.85957,                0.61344,                 1.1819,                0.95054,                   1.64,               0.002575,               0.002575,               0.002575
                     77,                0.95902,                 0.7882,                 1.3389,                0.83042,                0.71664,                0.80697,                0.54275,                 1.3408,                 1.2283,                 1.8839,               0.002476,               0.002476,               0.002476
                     78,                0.97967,                0.80896,                 1.3706,                 0.8548,                0.81402,                 0.8738,                0.61254,                 1.2013,                0.96464,                 1.6324,               0.002377,               0.002377,               0.002377
                     79,                 1.0103,                0.81319,                 1.3661,                0.82681,                0.77139,                0.82862,                0.52503,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                     80,                0.97265,                0.79053,                 1.3522,                0.90005,                0.79618,                0.88054,                  0.621,                 1.1575,                0.88729,                 1.6149,               0.002179,               0.002179,               0.002179
                     81,                0.95207,                0.77353,                 1.3546,                0.87202,                0.80793,                0.88333,                0.63524,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                     82,                0.96009,                0.79236,                  1.357,                0.88159,                0.81719,                0.87966,                0.62502,                 1.2425,                0.92225,                 1.7463,               0.001981,               0.001981,               0.001981
